,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,character,credit_id,order
23,False,/9DclZBBDxMrbcqNS81Pjz8opZTW.jpg,"[53, 27]",263472,en,Knock Knock,"When a devoted husband and father is left home alone for the weekend, two stranded young women unexpectedly knock on his door for help. What starts out as a kind gesture results in a dangerous seduction and a deadly game of cat and mouse.",47.561,/cUC4rUb1Cs2KMaZ6RD4uYUEEwls.jpg,2015-06-26,Knock Knock,False,5.348,2970,Bell,5342cb64c3a36814f9003b54,2
24,False,/4HWAQu28e2yaWrtupFPGFkdNU7V.jpg,"[35, 80, 9648]",546554,en,Knives Out,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",56.495,/pThyQovXQrw2m0s9x82twj48Jq4.jpg,2019-11-27,Knives Out,False,7.8,11537,Marta Cabrera,5bc9fa6792514156330104c6,2
25,False,/2u1YBNBlSwvBReyvI7i5z5ykQXP.jpg,"[28, 53]",725201,en,The Gray Man,"When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.",39.81,/5Eom3JsXgQlCj6QIsGCwXkX7wyH.jpg,2022-07-13,The Gray Man,False,6.976,3277,Dani Miranda,5fd3c663b7b69d003cf3064c,2
26,False,,[99],1041480,en,Designing Bond,"Production designer Mark Tildesley and costume designer Suttirat Anne Larlarb, along with cast and other filmmakers, discuss the inspiration, challenges and trials of conceiving and making the remarkable sets and costumes for the iconic Bond franchise.",1.664,,2021-12-20,Designing Bond,True,0.0,0,Self,635c021be263bb007c2415bf,2
27,False,/98sIdYdvnh68Va1JLjcyAuFGZO5.jpg,"[18, 80, 53]",466081,en,The Informer,"In New York, former convict Pete Koslow, related to the Polish mafia, must deal with both Klimek the General, his ruthless boss, and the twisted ambitions of two federal agents, as he tries to survive and protect the lives of his loved ones.",26.004,/pbGveUC8mk0QRkdXpERPLbMFnrg.jpg,2019-08-30,The Informer,False,6.538,763,Sofia,59664cdac3a36828fc110273,3
28,False,/hwxAXctrOLxQDKEuBNB41JrP5v9.jpg,"[18, 36, 53]",451184,en,Wasp Network,"Havana, Cuba, 1990. René González, an airplane pilot, unexpectedly flees the country, leaving behind his wife Olga and his daughter Irma, and begins a new life in Miami, where he becomes a member of an anti-Castro organization.",19.533,/fzjbeyEwmlpxu5CMzmFz8IDVELm.jpg,2020-01-29,Wasp Network,False,6.09,346,Ana Margarita,5c61e2ad925141250afb0808,3
29,False,/qR86EtVe6eabYloMD1SbQSlPbGv.jpg,[18],184341,en,Hands of Stone,The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives.,28.581,/rpAYkkc7ltnxnMXOZLPuI9A6cuB.jpg,2016-08-26,Hands of Stone,False,6.499,373,Felicidad Iglesias,5717c2f2c3a3687b8c00192a,4
30,False,/r2GAjd4rNOHJh6i6Y0FntmYuPQW.jpg,"[28, 12, 53]",370172,en,No Time to Die,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",68.621,/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg,2021-09-29,No Time to Die,False,7.39,5755,Paloma,5cc1a7e2c3a368776c8d2cab,8
31,False,/n8xKQ9pO5MRnchMIX6ObM0MsuNT.jpg,"[35, 27]",214632,es,Faraday,"Faraday is a weirdo telepath who is starting to lose his faith in the paranormal. His girlfriend, Diana, is a blogger whose highest aspiration in life is to be famous on the internet. When they decide to move in together they opt for a suspiciously cheap flat which turns out to be haunted.",0.6,/3NfYnCSRqUG5a9OjDm9pagSjLSm.jpg,2013-10-12,Faraday,False,5.5,11,Inma Murga,52fe4de5c3a368484e2038df,10
32,False,/8Bcm0qBnS6yjwTFad8eI6thzRub.jpg,[99],869250,en,Being James Bond,"Daniel Craig candidly reflects on his 15 year adventure as James Bond. Including never-before-seen archival footage from Casino Royale to the upcoming 25th film No Time To Die, Craig shares his personal memories in conversation with 007 producers, Michael G Wilson and Barbara Broccoli.",13.635,/jLaAbwPDzHNbJfZ0Xj0CkeM56CO.jpg,2021-08-29,Being James Bond,False,7.754,71,Self (archive footage),6197961971458f0042950774,20
